,Table S10. GO enrichment of cluster 3,,,,,
Ontology Database ID, Ontology Name,Number of genes annotated to the ontology in input,Number of genes annotated to the ontology in background,p-value,Ontology Category,Ontology description
GO:0003674,molecular_function,90,57742,3.71E-08,molecular_function,"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."
GO:0005575,cellular_component,101,43766,6.26E-26,cellular_component,"A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome)."
GO:0005634,nucleus,48,12751,8.95E-23,cellular_component,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
GO:0008150,biological_process,92,51472,1.06E-12,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."
GO:0008152,metabolic process,45,25709,1.23E-04,biological_process,"The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."
GO:0043170,macromolecule metabolic process,29,16431,2.64E-03,biological_process,"The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0043226,organelle,77,24436,1.19E-29,cellular_component,"Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."
GO:0043227,membrane-bounded organelle,76,23309,8.55E-31,cellular_component,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
GO:0043229,intracellular organelle,77,24375,9.05E-30,cellular_component,"Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO:0043231,intracellular membrane-bounded organelle,76,23230,5.85E-31,cellular_component,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
GO:0071704,organic substance metabolic process,44,24057,4.19E-05,biological_process,"The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."
GO:0003824,catalytic activity,45,23914,1.31E-05,molecular_function,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
GO:0004518,nuclease activity,3,656,4.00E-03,molecular_function,Catalysis of the hydrolysis of ester linkages within nucleic acids.
GO:0004527,exonuclease activity,2,171,1.55E-05,molecular_function,Catalysis of the hydrolysis of ester linkages within nucleic acids by removing nucleotide residues from the 3' or 5' end.
GO:0016788,"hydrolase activity, acting on ester bonds",6,2371,1.98E-02,molecular_function,Catalysis of the hydrolysis of any ester bond.
GO:0005488,binding,53,26763,1.48E-07,molecular_function,"The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."
GO:0016787,hydrolase activity,19,7105,1.72E-05,molecular_function,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
GO:0019538,protein metabolic process,20,9926,2.06E-03,biological_process,The chemical reactions and pathways involving a protein. Includes protein modification.
GO:0006807,nitrogen compound metabolic process,37,18170,1.22E-05,biological_process,The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen.
GO:0044238,primary metabolic process,33,21031,1.17E-02,biological_process,"The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
GO:0006950,response to stress,36,6750,7.39E-28,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."
GO:0009628,response to abiotic stimulus,29,5021,5.38E-25,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."
GO:1901564,organonitrogen compound metabolic process,30,13255,7.12E-06,biological_process,The chemical reactions and pathways involving organonitrogen compound.
GO:0050896,response to stimulus,49,10461,5.05E-32,biological_process,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."
