,Table S11 GO enrichment of cluster 4,,,,,
Ontology Database ID, Ontology Name,Number of genes annotated to the ontology in input,Number of genes annotated to the ontology in background,p-value,Ontology Category,Ontology description
GO:0005575,cellular_component,97,43766,1.08E-20,cellular_component,"A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome)."
GO:0043226,organelle,78,24436,4.39E-29,cellular_component,"Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."
GO:0043227,membrane-bounded organelle,76,23309,3.90E-29,cellular_component,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
GO:0043229,intracellular organelle,78,24375,3.34E-29,cellular_component,"Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."
GO:0043231,intracellular membrane-bounded organelle,76,23230,2.69E-29,cellular_component,"Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."
GO:0000375,"RNA splicing, via transesterification reactions",4,321,8.05E-10,biological_process,Splicing of RNA via a series of two transesterification reactions.
GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",4,321,8.05E-10,biological_process,"Splicing of RNA via a series of two transesterification reactions with a bulged adenosine residue from the intron branch point as the initiating nucleophile. When the initial RNA for the splicing reaction is a single molecule (cis splicing), the excised intron is released in a lariat structure."
GO:0000398,"mRNA splicing, via spliceosome",4,290,7.35E-11,biological_process,"The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."
GO:0006139,nucleobase-containing compound metabolic process,15,6320,1.34E-03,biological_process,"Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."
GO:0006396,RNA processing,6,1615,1.03E-03,biological_process,Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules.
GO:0006397,mRNA processing,5,479,6.86E-10,biological_process,Any process involved in the conversion of a primary mRNA transcript into one or more mature mRNA(s) prior to translation into polypeptide.
GO:0006725,cellular aromatic compound metabolic process,18,7800,7.08E-04,biological_process,"The chemical reactions and pathways involving aromatic compounds, any organic compound characterized by one or more planar rings, each of which contains conjugated double bonds and delocalized pi electrons, as carried out by individual cells."
GO:0006807,nitrogen compound metabolic process,37,18170,3.01E-05,biological_process,The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen.
GO:0008150,biological_process,97,51472,1.73E-14,biological_process,"A biological process is the execution of a genetically-encoded biological module or program. It consists of all the steps required to achieve the specific biological objective of the module. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence."
GO:0008152,metabolic process,50,25709,2.96E-06,biological_process,"The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."
GO:0008380,RNA splicing,4,413,1.20E-07,biological_process,The process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA.
GO:0016070,RNA metabolic process,10,4331,1.07E-02,biological_process,"The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
GO:0043170,macromolecule metabolic process,35,16431,1.55E-05,biological_process,"The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."
GO:0009987,cellular process,69,29660,7.32E-14,biological_process,"Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
GO:0044238,primary metabolic process,40,21031,9.11E-05,biological_process,"The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
GO:0034641,cellular nitrogen compound metabolic process,18,8827,4.46E-03,biological_process,"The chemical reactions and pathways involving various organic and inorganic nitrogenous compounds, as carried out by individual cells."
GO:0016071,mRNA metabolic process,6,702,2.46E-09,biological_process,"The chemical reactions and pathways involving mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."
GO:0110165,cellular anatomical entity,94,35790,5.04E-27,cellular_component,"A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."
GO:0044237,cellular metabolic process,36,18030,6.81E-05,biological_process,The chemical reactions and pathways by which individual cells transform chemical substances.
GO:0045292,"mRNA cis splicing, via spliceosome",1,28,2.83E-08,biological_process,"The joining together, after removal of an intervening sequence composed of one or more introns, of two segments of the same RNA molecule via spliceosomal catalysis to produce an mRNA composed only of exon sequences that all came from the same primary transcript."
PO:0009011,plant structure,8,33953,3.15E-10,plant_anatomy,"A plant anatomical entity (PO:0025131) that is, or was, part of a plant, or was derived from a part of a plant."
PO:0025131,plant anatomical entity,8,33965,3.11E-10,plant_anatomy,An anatomical entity that is or was part of a plant.
GO:0090304,nucleic acid metabolic process,13,5431,2.49E-03,biological_process,Any cellular metabolic process involving nucleic acids.
GO:0046483,heterocycle metabolic process,19,7359,6.47E-05,biological_process,"The chemical reactions and pathways involving heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."
PO:0009012,plant structure development stage,7,18973,2.36E-04,plant_structure_development_stage,A stage in the life of a plant structure (PO:0009011) during which the plant structure undergoes developmental processes.
PO:0025496,multi-tissue plant structure,8,23113,2.06E-05,plant_anatomy,A plant structure (PO:0009011) that has as parts two or more portions of plant tissue (PO:0009007) of at least two different types and which through specific morphogenetic processes forms a single structural unit demarcated by primarily bona-fide boundaries from other structural units of different types.
PO:0007033,whole plant development stage,7,17841,5.62E-04,plant_structure_development_stage,A plant structure development stage (PO:0009012) that has as primary participant a whole plant (PO:0000003).
PO:0007134,sporophyte vegetative stage,6,17081,4.06E-04,plant_structure_development_stage,A sporophyte development stage (PO:0028002) that occurs during the interval between the first division of a plant zygote (PO:0000423) and the formation of a sporangium (PO:0025094).
PO:0009008,plant organ,8,22513,3.43E-05,plant_anatomy,"A multi-tissue plant structure (PO:0025496) that is a functional unit, is a proper part of a whole plant (PO:0000003), and includes portions of plant tissue (PO:0009007) of at least two different types that derive from a common developmental path."
PO:0028002,sporophyte development stage,6,17093,4.02E-04,plant_structure_development_stage,A whole plant development stage (PO:0007033) that has as primary participant a whole plant (PO:0000003) during the interval between fertilization (or apogamy) and death.
GO:1901360,organic cyclic compound metabolic process,19,8064,3.51E-04,biological_process,The chemical reactions and pathways involving organic cyclic compound.
PO:0025004,plant axis,6,17929,2.10E-04,plant_anatomy,An axial plant organ (PO:0009008).
GO:0071704,organic substance metabolic process,47,24057,6.10E-06,biological_process,"The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."
PO:0025007,collective plant organ structure,7,18257,4.10E-04,plant_anatomy,"A collective plant structure (PO:0025497) that is a proper part of a whole plant (PO:0000003), and is composed of two or more adjacent plant organs (PO:0009008) and the associated portions of plant tissue (PO:0009007)."
PO:0025497,collective plant structure,7,18261,4.09E-04,plant_anatomy,"A plant structure (PO:0009011) that is a proper part of a whole plant (PO:0000003) and includes two or more adjacent plant organs (PO:0009008) or adjacent cardinal organ parts (PO:0025001), along with any associated portions of plant tissue (PO:0009007)."
PO:0007631,plant embryo development stage,5,15076,7.40E-04,plant_structure_development_stage,"A sporophyte vegetative stage (PO:0007134) that occurs during the interval between the first cell division of a plant zygote (PO:0000423) and one of the following: the beginning of the seed germination stage (PO:0007057) in seed plants, formation of the first vascular leaf (PO:0009025) in pteridophytes, the beginning of development of a sporangium (PO:0025094) in bryophytes, or the beginning of the formation of a plant organ (PO:0009008) such as a root (PO:0009005), shoot axis (PO:0025029), or vascular leaf (PO:0009025) in a cultured plant embryo (PO:0000010)."
PO:0006001,phyllome,7,20973,4.71E-05,plant_anatomy,A lateral plant organ (PO:0009008) produced by a shoot apical meristem (PO:0020148).
PO:0025034,leaf,6,19154,7.90E-05,plant_anatomy,A phyllome (PO:0006001) that is not associated with a reproductive structure.
PO:0009006,shoot system,7,17479,7.38E-04,plant_anatomy,A collective plant organ structure (PO:0025007) that produces shoot-borne portions of meristem tissue (PO:0009013) and the plant structures (PO:0009011) that arise from them.
PO:0009046,flower,7,17123,9.62E-04,plant_anatomy,A determinate reproductive shoot system (PO:0025082) that has as part at least one carpel (PO:0009030) or at least one stamen (PO:0009029) and does not contain any other determinate shoot system (PO:0009006) as a part.
PO:0025029,shoot axis,6,16477,6.43E-04,plant_anatomy,A plant axis (PO:0025004) that is part of a shoot system (PO:0009006).
PO:0025082,reproductive shoot system,7,17222,8.94E-04,plant_anatomy,A shoot system (PO:0009006) in the sporophytic phase that has as part at least one sporangium (PO:0025094).
PO:0000003,whole plant,6,19774,4.75E-05,plant_anatomy,A plant structure (PO:0005679) which is a whole organism.
PO:0000037,shoot axis apex,6,14370,3.02E-03,plant_anatomy,A shoot axis (PO:0025029) that is the most distal part of a shoot system (PO:0009006) and has as parts a shoot apical meristem (PO:0020148) and the youngest primordia (PO:0025127).
PO:0000293,guard cell,6,19036,8.69E-05,plant_anatomy,A shoot epidermal cell (PO:0025165) that is one of a pair of cells flanking the stomatal pore (PO:0008032).
PO:0001078,plant embryo cotyledonary stage,5,13892,1.78E-03,plant_structure_development_stage,"A plant embryo development stage (PO:0007631) that occurs during the interval between the beginning of rapid elongation of the plant embryo axis (PO:0019018) and plant embryo cotyledons (PO:0025470), and the onset of a plant embryo true leaf formation stage (PO:0001095), when present, or a mature plant embryo stage (PO:0001081)."
