,"Table S6 DEGs between Pol vs Fer, up-regulated and down-regulated",,,,,,
ID,sampleA,sampleB,log2FoldChange,pvalue,padj,Uniprot annotation,Regulation
TRINITY_DN6029_c0_g1_i7,Pol,Fer,12.06042921,1.01E-12,9.14E-10,G6PD_SOLTU,up
TRINITY_DN19_c0_g3_i1,Pol,Fer,11.83218121,8.05E-11,4.05E-08,HSP7C_PETHY,up
TRINITY_DN3944_c0_g1_i6,Pol,Fer,11.63562884,5.59E-12,4.11E-09,MA651_ARATH,up
TRINITY_DN206_c0_g1_i8,Pol,Fer,11.48198711,2.15E-07,3.26E-05,PCKA1_ARATH,up
TRINITY_DN9248_c0_g1_i19,Pol,Fer,11.35685779,1.60E-08,3.85E-06,PERK3_ARATH,up
TRINITY_DN694_c0_g1_i3,Pol,Fer,11.2037675,5.69E-11,2.95E-08,LEC2_COLES,up
TRINITY_DN2686_c0_g1_i1,Pol,Fer,11.18234637,5.61E-10,2.13E-07,INV3_ORYSJ,up
TRINITY_DN4375_c0_g2_i3,Pol,Fer,11.07611979,3.37E-09,1.01E-06,DNJH_CUCSA,up
TRINITY_DN4035_c0_g1_i3,Pol,Fer,11.03751794,9.99E-11,4.82E-08,AKH1_MAIZE,up
TRINITY_DN5576_c0_g1_i17,Pol,Fer,10.95313856,9.87E-09,2.62E-06,GDL79_ARATH,up
TRINITY_DN3877_c0_g1_i4,Pol,Fer,10.83107891,1.22E-07,2.09E-05,GLSN_MEDSA,up
TRINITY_DN2507_c0_g1_i5,Pol,Fer,10.82572636,2.80E-10,1.22E-07,PAT_PETHY,up
TRINITY_DN12705_c1_g1_i8,Pol,Fer,10.78301864,7.19E-10,2.59E-07,MA651_ARATH,up
TRINITY_DN894_c0_g1_i14,Pol,Fer,10.75906355,1.42E-08,3.50E-06,HFA2B_ORYSJ,up
TRINITY_DN1778_c0_g1_i6,Pol,Fer,10.74513664,1.02E-08,2.68E-06,ACA1_ARATH,up
TRINITY_DN2507_c0_g1_i9,Pol,Fer,10.73709761,1.08E-09,3.61E-07,PAT_PETHY,up
TRINITY_DN81_c0_g1_i1,Pol,Fer,10.69279257,5.49E-10,2.10E-07,PPA1_SOLLC,up
TRINITY_DN3709_c0_g1_i10,Pol,Fer,10.66025399,3.85E-05,0.001756727,CB2G_SOLLC,up
TRINITY_DN5526_c0_g1_i3,Pol,Fer,10.65487849,3.54E-08,7.34E-06,ODO1_DICDI,up
TRINITY_DN2731_c0_g1_i8,Pol,Fer,10.40514937,3.27E-09,9.95E-07,HIP24_ARATH,up
TRINITY_DN5606_c0_g1_i15,Pol,Fer,10.4025082,3.47E-09,1.02E-06,SBT3_LOTJA,up
TRINITY_DN4802_c0_g1_i8,Pol,Fer,10.31409226,2.13E-08,4.79E-06,BOR4_ARATH,up
TRINITY_DN1873_c0_g1_i3,Pol,Fer,10.23269971,2.32E-07,3.45E-05,BRM_ARATH,up
TRINITY_DN472_c1_g1_i11,Pol,Fer,10.15614399,5.35E-08,1.05E-05,TBB1_MAIZE,up
TRINITY_DN990_c0_g1_i3,Pol,Fer,10.12568991,5.10E-07,6.58E-05,Y1044_ARATH,up
TRINITY_DN5942_c0_g1_i31,Pol,Fer,10.11280227,6.99E-08,1.30E-05,CDKG2_ORYSJ,up
TRINITY_DN1387_c0_g1_i7,Pol,Fer,10.08222462,2.53E-06,0.00023249,LNK2_ARATH,up
TRINITY_DN5606_c0_g1_i8,Pol,Fer,10.05608462,1.50E-08,3.65E-06,SBT4_LOTJA,up
TRINITY_DN4662_c0_g1_i3,Pol,Fer,10.05253283,9.41E-12,6.14E-09,GSTFC_ARATH,up
TRINITY_DN6163_c0_g1_i3,Pol,Fer,10.04587124,1.74E-08,4.04E-06,MURG_SALRD,up
TRINITY_DN2430_c0_g1_i7,Pol,Fer,10.03644373,2.93E-08,6.14E-06,AGO10_ARATH,up
