,Table S1. All DEGs obtained in this study.,,,,,,,,
ID,Uniprot annotation,PFAM ID,PFAM description,GO-terms linked to biological process (BP),BP description,GO-terms linked to molecular function (MF),MF description,GO-terms linked to cellular component (CC),CC description
TRINITY_DN13630_c0_g1_i7,GASA6_ARATH,PF02704.15,Gibberellin regulated protein  ,.,.,.,.,.,.
TRINITY_DN2731_c0_g1_i9,HIP24_ARATH,PF00542.20,Ribosomal protein L7/L12 C-terminal domain,|0006412|0000455|0030490|0006351|0030001,|translation|enzyme-directed rRNA pseudouridine synthesis|maturation of SSU-rRNA|transcription DNA-templated|metal ion transport,|0003735|1904047|0016740|0003735|0003723|0046872|0005515,|structural constituent of ribosome|S-adenosyl-L-methionine binding|transferase activity|structural constituent of ribosome|RNA binding|metal ion binding|protein binding,|0005840|0005737|0005634|0015934|0016021|0005886,|ribosome|cytoplasm|nucleus|large ribosomal subunit|integral component of membrane|plasma membrane
TRINITY_DN1008_c0_g1_i2,TIC40_PEA,.,.,.,.,.,.,|0016021,|integral component of membrane
TRINITY_DN11132_c0_g1_i2,SPL8_ARATH,PF03110.15,SBP domain   ,|0018108|0009554|0009556|0048653|0030154,|peptidyl-tyrosine phosphorylation|megasporogenesis|microsporogenesis|anther development|cell differentiation,|0003677|0046872|0004714|0106311|0106310,|DNA binding|metal ion binding|transmembrane receptor protein tyrosine kinase activity|protein threonine kinase activity|protein serine kinase activity,|0005634|0005737,|nucleus|cytoplasm
TRINITY_DN1136_c0_g1_i87,FPGS2_ARATH,PF12171.9,Zinc-finger double-stranded RNA-binding  ,|0046901|0006730|0046901|0006730|0090351|0009853,|tetrahydrofolylpolyglutamate biosynthetic process|one-carbon metabolic process|tetrahydrofolylpolyglutamate biosynthetic process|one-carbon metabolic process|seedling development|photorespiration,|0004326|0005524|0046872|0004326|0005524|0046872,|tetrahydrofolylpolyglutamate synthase activity|ATP binding|metal ion binding|tetrahydrofolylpolyglutamate synthase activity|ATP binding|metal ion binding,|0005829|0005739|0005739|0005829|0019866|0016021,|cytosol|mitochondrion|mitochondrion|cytosol|organelle inner membrane|integral component of membrane
TRINITY_DN1220_c0_g1_i9,RVE8_ARATH,PF00249.32,Myb-like DNA-binding domain  ,|0006468,|protein phosphorylation,|0003677|0004672,|DNA binding|protein kinase activity,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN1239_c0_g1_i1,SBT14_ARATH,PF00082.23,Subtilase family   ,|0006508|0010346|0010150|0001763|0055085,|proteolysis|shoot axis formation|leaf senescence|morphogenesis of a branching structure|transmembrane transport,|0004252,|serine-type endopeptidase activity,|0048046|0005774|0016021,|apoplast|vacuolar membrane|integral component of membrane
TRINITY_DN12598_c1_g1_i2,PSBC_PHAAO,PF00124.20,Photosynthetic reaction centre protein ,|0015979|0022900|0009772|0018298,|photosynthesis|electron transport chain|photosynthetic electron transport in photosystem II|protein-chromophore linkage,|0016168|0005506|0009055|0045156|0016168|0046872,|chlorophyll binding|iron ion binding|electron transfer activity|electron transporter transferring electrons within the cyclic electron transport pathway of photosynthesis activity|chlorophyll binding|metal ion binding,|0009535|0009523|0042651|0009536|0031984|0016021,|chloroplast thylakoid membrane|photosystem II|thylakoid membrane|plastid|organelle subcompartment|integral component of membrane
TRINITY_DN126_c0_g1_i14,PIL15_ORYSJ,PF00010.27,Helix-loop-helix DNA-binding domain  ,.,.,|0046983,|protein dimerization activity,|0005634,|nucleus
TRINITY_DN13776_c0_g1_i2,CALR_PRUAR,PF00262.19,Calreticulin family   ,|0006457|0030968|0051208|0032469|0007275,|protein folding|endoplasmic reticulum unfolded protein response|sequestering of calcium ion|endoplasmic reticulum calcium ion homeostasis|multicellular organism development,|0051082|0030246|0005509|0045735,|unfolded protein binding|carbohydrate binding|calcium ion binding|nutrient reservoir activity,|0005788|0005789|0042735|0009506|0016021,|endoplasmic reticulum lumen|endoplasmic reticulum membrane|protein body|plasmodesma|integral component of membrane
TRINITY_DN1391_c0_g1_i3,NDX1_SOLLC,PF06314.12,Acetoacetate decarboxylase (ADC)  ,.,.,.,.,.,.
TRINITY_DN14183_c0_g1_i1,UFD1_MOUSE,PF03152.15,Ubiquitin fusion degradation protein UFD1,|0006511|0071712,|ubiquitin-dependent protein catabolic process|ER-associated misfolded protein catabolic process,|0031593,|polyubiquitin modification-dependent protein binding,|0034098,|VCP-NPL4-UFD1 AAA ATPase complex
TRINITY_DN16445_c0_g1_i6,HS22M_SOYBN,PF00011.22,Hsp20/alpha crystallin family  ,|0046686,|response to cadmium ion,|0005515,|protein binding,|0005739|0016021,|mitochondrion|integral component of membrane
TRINITY_DN16843_c1_g1_i1,XPT_ARATH,PF03151.17,Triose-phosphate Transporter family  ,|0055085|0015717|0015718|0051726|0008643,|transmembrane transport|triose phosphate transport|monocarboxylic acid transport|regulation of cell cycle|carbohydrate transport,|0022857|0004693,|transmembrane transporter activity|cyclin-dependent protein serine/threonine kinase activity,|0009941|0042170|0005794|0016021,|chloroplast envelope|plastid membrane|Golgi apparatus|integral component of membrane
TRINITY_DN173_c0_g1_i13,HSP7S_PEA,PF00012.21,Hsp70 protein   ,|0006457|0006457,|protein folding|protein folding,|0051082|0005524|0051082|0005524|0003735,|unfolded protein binding|ATP binding|unfolded protein binding|ATP binding|structural constituent of ribosome,|0009507|0005788|0009532|0009507|0016021|0005840|0005759|0098798|1990904,|chloroplast|endoplasmic reticulum lumen|plastid stroma|chloroplast|integral component of membrane|ribosome|mitochondrial matrix|mitochondrial protein-containing complex|ribonucleoprotein complex
TRINITY_DN17587_c0_g1_i5,C7D55_HYOMU,PF00067.23,Cytochrome P450   ,.,.,.,.,.,.
TRINITY_DN1760_c0_g1_i6,SCAM1_ORYSI,PF04144.14,SCAMP family   ,|0015031|0032012|0050790|0016310,|protein transport|regulation of ARF protein signal transduction|regulation of catalytic activity|phosphorylation,|0005085|0016301,|guanyl-nucleotide exchange factor activity|kinase activity,|0030658|0032588|0055038|0005886|0016021|0005769|0005829|0005634,|transport vesicle membrane|trans-Golgi network membrane|recycling endosome membrane|plasma membrane|integral component of membrane|early endosome|cytosol|nucleus
TRINITY_DN1811_c0_g1_i2,BAG6_ARATH,PF02179.17,BAG domain   ,.,.,.,.,.,.
TRINITY_DN1821_c0_g1_i1,HS704_ARATH,PF00012.21,Hsp70 protein   ,|0051085|0034620|0042026|0009615|0009408|0046686|0009617|0016567,|chaperone cofactor-dependent protein refolding|cellular response to unfolded protein|protein refolding|response to virus|response to heat|response to cadmium ion|response to bacterium|protein ubiquitination,|0051787|0044183|0031072|0005524|0051082|0016887|0031625,|misfolded protein binding|protein folding chaperone|heat shock protein binding|ATP binding|unfolded protein binding|ATPase activity|ubiquitin protein ligase binding,|0005788|0005618|0005774|0005794|0005829|0005886|0005739|0005634,|endoplasmic reticulum lumen|cell wall|vacuolar membrane|Golgi apparatus|cytosol|plasma membrane|mitochondrion|nucleus
TRINITY_DN19068_c0_g1_i1,CNGC4_ARATH,PF00027.30,Cyclic nucleotide-binding domain  ,|0034220|0009626|0006812,|ion transmembrane transport|plant-type hypersensitive response|cation transport,|0005216|0008324|0030553|0030552|0005516|0003677,|ion channel activity|cation transmembrane transporter activity|cGMP binding|cAMP binding|calmodulin binding|DNA binding,|0016021|0005634|0005886,|integral component of membrane|nucleus|plasma membrane
TRINITY_DN2013_c0_g1_i4,SGS3_ORYSJ,PF03468.15,XS domain   ,|0031047|0007275,|gene silencing by RNA|multicellular organism development,|0016788,|hydrolase activity acting on ester bonds,.,.
TRINITY_DN2092_c0_g1_i12,FRS6_ARATH,PF10551.10,MULE transposase domain  ,.,.,.,.,.,.
